Gene	stable	"ID	Transcript"	stable	"ID	Human"	gene	stable	"ID	Human"	gene	name
"WBGene00000018	M79.1a.1		"									
"WBGene00000035	W09B12.1.1	ENSG00000042832	TG"									
"WBGene00000039	C42D8.5.1	ENSG00000130234	ACE2"									
"WBGene00000040	ZK455.1.1	ENSG00000136381	IREB2"									
"WBGene00000041	F54H12.1a.1	ENSG00000100412	ACO2"									
"WBGene00000055	F25G6.3.1		"									
"WBGene00000063	T04C12.6.1		"									
"WBGene00000064	T04C12.5.1		"									
"WBGene00000065	T04C12.4.1		"									
"WBGene00000065	T04C12.4.2		"									
"WBGene00000065	T04C12.4.3		"									
"WBGene00000066	M03F4.2a.1		"									
"WBGene00000072	F39C12.2b.1		"									
"WBGene00000073	F57F5.4a.1	ENSG00000075340	ADD2"									
"WBGene00000073	F57F5.4a.1	ENSG00000148700	ADD3"									
"WBGene00000073	F57F5.4a.1	ENSG00000087274	ADD1"									
"WBGene00000080	T20H4.4.1	ENSG00000160710	ADAR"									
"WBGene00000081	Y50D7A.7.1	ENSG00000018510	AGPS"									
"WBGene00000086	C02H7.3a.1	ENSG00000110514	MADD"									
"WBGene00000090	B0334.8a.1	ENSG00000105851	PIK3CG"									
"WBGene00000090	B0334.8a.1	ENSG00000139144	PIK3C2G"									
"WBGene00000090	B0334.8a.1	ENSG00000051382	PIK3CB"									
"WBGene00000090	B0334.8a.1	ENSG00000133056	PIK3C2B"									
"WBGene00000090	B0334.8a.1	ENSG00000171608	PIK3CD"									
"WBGene00000090	B0334.8a.1	ENSG00000011405	PIK3C2A"									
"WBGene00000095	C25A1.11.1	ENSG00000133794	BMAL1"									
"WBGene00000095	C25A1.11.1	ENSG00000134852	CLOCK"									
"WBGene00000095	C25A1.11.1	ENSG00000029153	BMAL2"									
"WBGene00000095	C25A1.11.1	ENSG00000170485	NPAS2"									
"WBGene00000095	C25A1.11.1	ENSG00000143437	ARNT"									
"WBGene00000095	C25A1.11.1	ENSG00000172379	ARNT2"									
"WBGene00000095	C25A1.11.1	ENSG00000166049	PASD1"									
"WBGene00000096	C41G7.5a.1	ENSG00000106546	AHR"									
"WBGene00000099	B0207.4.1	ENSG00000178999	AURKB"									
"WBGene00000099	B0207.4.2	ENSG00000178999	AURKB"									
